event,source_short_name,pages,source_class,caveats
1.1979-01,"Cook, 1979",,A,
1.1979-01,"Gasiorowski, 2002",649,A,
1.1979-01,"""Gunman,"" 1979",,A,
1.1979-01,"""Iran,"" 1979",,A,
1.1979-01,"""Nephew,"" 1979",,A,
1.1979-01,"Prial, 1979, ""Nephew""",,A,
1.1979-01,"Prial, 1979, ""Theories""",,A,
1.1979-01,"Reuters, 1979, ""Iran's""",,A,
1.1979-01,"Reuters, 1979, ""Paris""",,A,
1.1979-01,"""Shah Nephew Killed,"" 1979",,A,
1.1979-01,"""Shah Nephew Planned,"" 1979",,A,
1.1979-01,"""Shot,"" 1979",,A,
1.1979-01,"""Son,"" 1979",,A,
1.1979-01,"United Press International, 1979, ""Iranian""",,A,
1.1979-01,"United Press International, 1979, ""Shah's""",,A,
1.1979-01,"""Assassins,"" 1980",,B,
1.1979-01,"Associated Press, 1984, ""Former""",,B,
1.1979-01,"Associated Press, 1984, ""Shah's""",,B,
1.1979-01,"Eder, 1980",,B,
1.1979-01,"""Ex-Iran,"" 1980",,B,
1.1979-01,"""Governor,"" 1984",,B,
1.1979-01,"""Kill,"" 1979",,B,
1.1979-01,"Kinzer, 2003",200,B,
1.1979-01,"Koven, 1979",,B,
1.1979-01,"MacArthur, 1984",,B,
1.1979-01,"""Murder,"" 1984",,B,
1.1979-01,"Shannon, 1980",,B,
1.1979-01,"Silverman, 2002",,B,
1.1979-01,"""Team,"" 1979",,B,
1.1979-01,"Washington Post Service, 1980, ""Assassination""",,B,
1.1979-01,"Zuckerman, 1980",,B,
1.1979-01,"Federal Research Division, Library of Congress, 2012",48,C,
1.1979-01,"Foundation for Democracy in Iran, 1996",,C,
1.1979-01,"Geist, 2011",,C,
1.1979-01,"Hakakian, 2011",304,C,
1.1979-01,"Iran-e-Azad, N.d.",,C,
1.1979-01,"Kadivar, 2003",,C,
1.1979-01,"Mousavian, 2008",218,C,
1.1979-01,"Pahlavi, N.d.",,C,
1.1979-01,"""Paid,"" 1999",,C,
1.1979-01,"PDK-Iran, N.d.",,C,
1.1979-01,"Sahimi, 2011",,C,
1.1979-01,"Student Movement Coordination Committee for Democracy in Iran, N.d.",,C,
1.1979-01,"Thompson and Akrami, N.d.",,C,
1.1980-01,"""Assassins,"" 1980",,A,
1.1980-01,"Eder, 1980",,A,
1.1980-01,"Gasiorowski, 2002","648-658, 661-666",A,
1.1980-01,"Ibrahim, 1990",,A,
1.1980-01,"Riding, 1990, ""For""",,A,
1.1980-01,"Riding, 1990, ""Prisoners""",,A,
1.1980-01,"Treuthardt, 1980",,A,
1.1980-01,"Walsh, 1980",,A,
1.1980-01,"Abedin, 2002",,B,
1.1980-01,"Associated Press, 1980, ""Ex-Premier""",,B,
1.1980-01,"Associated Press, 1984, ""Former""",,B,
1.1980-01,"Berger, 1980",,B,
1.1980-01,"Chaddock, 1997",,B,
1.1980-01,"""Ex-Iran,"" 1980",,B,
1.1980-01,"Farhang, 1993",,B,
1.1980-01,"Fisk, 1996",,B,
1.1980-01,"""French,"" 1991",,B,
1.1980-01,"""Governor,"" 1984",,B,
1.1980-01,"Greenhouse, 1994",,B,
1.1980-01,"""Iran Security,"" 1980",,B,
1.1980-01,"Koven, 1979",,B,
1.1980-01,"Mullen, 1980",,B,
1.1980-01,"""Murder,"" 1984",,B,
1.1980-01,"Pear, 1980, ""Iran""",,B,
1.1980-01,"Pear, 1980, ""Khomeini""",,B,
1.1980-01,"Riding, 1994, ""3""",,B,
1.1980-01,"Riding, 1994, ""France""",,B,
1.1980-01,"Riding, 1991, ""Iran's""",,B,
1.1980-01,"Riding, 1991, ""Suspects""",,B,
1.1980-01,"Rosenzweig, 2001",,B,
1.1980-01,"Silverman, 2002",,B,
1.1980-01,"Smith and Canzian, 1980, ""2""",,B,
1.1980-01,"Sulzberger, 1980, ""2""",,B,
1.1980-01,"Washington Post Service, 1980, ""Assassination""",,B,
1.1980-01,"Waxman, 1991",,B,
1.1980-01,"Yeranian, 2010",,B,
1.1980-01,"Zuckerman, 1980",,B,
1.1980-01,"Foundation for Democracy in Iran, 1996",,C,
1.1980-01,"Geist, 2011",,C,
1.1980-01,"Hakakian, 2011",304,C,
1.1980-01,"Human Rights & Democracy for Iran, N.d.",,C,
1.1980-01,"Iran-e-Azad, N.d.",,C,
1.1980-01,"""Iran's,"" 1980",,C,
1.1980-01,"Kadivar, 2003",,C,
1.1980-01,"Mousavian, 2008",218-219,C,
1.1980-01,"Pahlavi, N.d.",,C,
1.1980-01,"PDK-Iran, N.d.",,C,
1.1980-01,"Sahimi, 2011",,C,
