ID,year,month,day,weekday,include_weekday,date_notes,country,sub_1,metro,city,neighborhood,appr_lat,appr_long,loc_notes
1.1979-01,1979,12,7,Friday,1,around 13:00,France,Île-de-France,Paris (FRA),Paris,,48.87,2.28,"rue de la Ville Dupont, as Shafigh was carrying groceries en route to his mother's home"
1.1980-01,1980,7,18,Friday,1,The assailants arrived around 8:45.,France,Île-de-France,Paris (FRA),Neuilly,,48.89,2.27,Bakhtiar's apartment building
1.1980-02,1980,7,22,Tuesday,1,The shooting took place at some point between 11:45 and 11:55. Tabatabai was pronounced dead at 12:34.,United States,Maryland,"Washington, D.C. (USA)",Bethesda,,38.98,-77.11,in the doorway of Tabatabai's home
1.1980-03,1980,7,31,Thursday,1,around 22:15,United States,California,Los Angeles-Long Beach-Santa Ana (USA),Los Angeles,,34.05,-118.25,outside Shah-Rais's home
1.1982-01,1982,1,,,0,possibly 1982-01-14 or 1982-01-15,Philippines,National Capital Region,Manila (PHL),Manila,,14.6,120.98,
1.1982-02,1982,6,8,Tuesday,1,,India,,,Aligahar,,,,possibly Aligarh
1.1982-03,1982,8,,,0,"possibly 1982-08-29 | Per Iran-e-Azad, Zolanvar died on 1982-09-05.",Pakistan,Sindh,Karachi (PAK),Karachi,,24.99,67.12,
1.1982-04,1982,9,10,Friday,1,,India,Karnataka,Bangalore (IND),Bangalore,,12.98,77.59,
1.1983-01,1983,2,,,0,possibly 1983-02-08,Philippines,National Capital Region,Manila (PHL),Manila,,14.6,120.98,
1.1983-02,1983,7,,,0,,Philippines,National Capital Region,Manila (PHL),Manila,,14.6,120.98,outside the UNHCR office
1.1984-01,1984,2,7,Tuesday,1,,France,Île-de-France,Paris (FRA),Paris,16th Arrondissement,48.86,2.28,on the sidewalk of the Rue de Passy
1.1985-01,1985,8,16,Friday,1,,Türkiye,Istanbul,Istanbul (TUR),Istanbul,,41.01,28.96,
1.1985-02,1985,12,,,0,possibly 1985-12-23,Türkiye,Ankara,Ankara (TUR),Ankara,,39.93,32.85,
1.1986-01,1986,8,19,Tuesday,1,"""when the area was crowded with shoppers"" (""London Police"")",United Kingdom,England,London (GBR),London,Kensington,51.5,-0.19,at Reza Fazeli's shop
1.1986-02,1986,10,24,Friday,1,,Türkiye,Istanbul,Istanbul (TUR),Istanbul,,41.01,28.96,
1.1986-03,1986,12,,,0,,Pakistan,,,,,,,
1.1987-01,1987,1,16,Friday,1,after Mohammadi had dropped his daughter off at kindergarten,Germany,Hamburg,Hamburg (DEU),Hamburg,,53.55,10,on a downtown street
1.1987-02,1987,5,,,0,Chitgar likely died in mid-May. His body was found on 1987-07-13.,Austria,Vienna,Wien (Vienna) (AUT),Vienna,,48.2,16.37,a flat in central Vienna
1.1987-03,1987,7,8,Wednesday,1,at dawn,Pakistan,Sindh,Karachi (PAK),Karachi,,24.99,67.12,"While these were separate attacks on 13 houses in Karachi and Quetta, Pakistan, they seem to have been coordinated, and our sources do not clarify who was targeted where, so we have grouped them together."
1.1987-04,1987,7,18,Saturday,1,,United Kingdom,England,London (GBR),London,,51.5,-0.19,less than a mile from Kensington Palace as Amir-Parviz drove through a shopping district | The location listed is where the bomb exploded.
1.1987-05,1987,7,25,Saturday,1,,Türkiye,Istanbul,Istanbul (TUR),Istanbul,,41.01,28.96,at Mansouri's house
1.1987-06,1987,8,10,Monday,1,,Switzerland,Geneva,Geneve (CHE); Annemasse [FRA],Geneva,,46.21,6.15,near Hotel Edelweiss
1.1987-07,1987,10,2,Friday,0,This is the date the bodies were found.,United Kingdom,England,London (GBR),London,Wembley,51.55,-0.3,in the family's apartment
1.1987-08,1987,,,,0,"possibly 1987-08, 1987-10, or 1987-11-28",France,Île-de-France,Paris (FRA),Paris,,48.86,2.35,Bagheri's shop
1.1987-09,1987,10,,,0,possibly 1987-10-31,Pakistan,Balochistan,Quetta (PAK),Quetta,,30.18,67,a hotel
1.1987-10,1987,12,,,0,,Türkiye,Istanbul,Istanbul (TUR),Istanbul,,41.01,28.96,at Haeri's home
1.1988-01,1988,10,,,0,possibly 1988-10-11 or 1988-10-19,Türkiye,Istanbul,Istanbul (TUR),Istanbul,,41.01,28.96,"Mojtahedzadeh was kidnapped in Istanbul and rescued, perhaps near Erzurum, as his captors attempted to cross into Iran."
1.1988-02,1988,12,,,0,possibly 1988-12-03 or 1988-12-12,Pakistan,Sindh,Karachi (PAK),Karachi,,24.99,67.12,outside the office of the United Nations High Commissioner for Refugees
1.1989-01,1989,6,4,Sunday,1,Bayahmadi arrived at 4:00. His body was found at 8:30.,United Arab Emirates,Dubai,Dubayy (Dubai) (ARE),Dubai,,25.26,55.3,Bayahmadi's hotel room
1.1989-02,1989,7,13,Thursday,1,evening,Austria,Vienna,Wien (Vienna) (AUT),Vienna,,48.2,16.37,an apartment in central Vienna
1.1989-03,1989,8,26,Saturday,1,,Cyprus,Larnaca,Larnaca (CYP),Larnaca,,34.92,33.63,"""on a back street in the restaurant district"" (Tyler, ""Iranian"")"
1.1989-04,1989,9,,,0,possibly 1989-09-04 or 1989-09-09,Iraq,,,,,,,"northern Iraq, at Kamangar's headquarters"
1.1989-05,1989,9,14,Thursday,1,,Pakistan,Sindh,Karachi (PAK),Karachi,,24.99,67.12,
1.1990-01,1990,2,,,0,possibly 1990-02-16,Pakistan,Balochistan,,Taftan,,28.95,61.58,
1.1990-02,1990,3,14,Wednesday,1,,Türkiye,Istanbul,Istanbul (TUR),Istanbul,,41.01,28.96,en route to the airport
1.1990-03,1990,4,24,Tuesday,1,,Switzerland,Geneva,Geneve (CHE); Annemasse [FRA],Coppet,,46.32,6.19,as Rajavi was driving to his home in Coppet
1.1990-04,1990,7,15,Sunday,1,,Türkiye,Istanbul,Istanbul (TUR),Istanbul,,41.01,28.96,"Per Iran-e-Azad, Kashefpour was “kidnapped . . . from his home” and his body was “later found in a roadside ditch.”"
1.1990-05,1990,9,6,Thursday,1,,Sweden,Stockholm,Stockholm (SWE),Stockholm,,59.33,18.07,
1.1990-06,1990,10,,,0,,Türkiye,,,,,,,in his hotel room
1.1990-07,1990,10,23,Tuesday,0,Elahi's body was found shortly before dawn.,France,Île-de-France,Paris (FRA),Paris,Montparnasse,48.84,2.32,in Elahi's apartment building
1.1991-01,1991,4,18,Thursday,1,,France,Île-de-France,Paris (FRA),Paris,,48.86,2.35,in the lobby of Boroumand's apartment building
1.1991-02,1991,5,,,0,,Iraq,Sulaymaniyah,Sulaimaniya (IRQ),Sulaymaniyah,,35.56,45.44,
1.1991-03,1991,,,,0,possibly 1991-01 or 1991-07,Iraq,Sulaymaniyah,Sulaimaniya (IRQ),Sulaymaniyah,,35.56,45.44,on a street
1.1991-04,1991,8,6,Tuesday,1,evening | Bakhtiar's and Katibeh's bodies were discovered early on 1991-08-08.,France,Île-de-France,Paris (FRA),Suresnes,,48.87,2.22,at Bakhtiar's home
1.1991-05,1991,8,7,Wednesday,1,within 24 hours of 1.1991-04 (Bakhtiar '91),France,Île-de-France,Paris (FRA),Paris,,48.86,2.35,
1.1991-06,1991,9,,,0,possibly 1991-09-19,Iraq,Sulaymaniyah,Sulaimaniya (IRQ),Sulaymaniyah,,35.56,45.44,at Yazdanpanah's residence
1.1992-01,1992,1,,,0,,Sweden,,,Vastros,,,,perhaps Västerås
1.1992-02,1992,,,,0,"1992-05 or 1992-06, possibly 1992-05-31",Iraq,,,,,,,"northern Iraq, near the Iranian border"
1.1992-03,1992,6,4,Thursday,1,Ghorbani was kidnapped during daylight on 1992-06-04. His body was discovered on 1993-01-29.,Türkiye,Istanbul,Istanbul (TUR),Istanbul,,41.01,28.96,"Ghorbani was kidnapped in front of an apartment in Istanbul. His body was found in “a shallow grave in a resort 28 miles southeast of Istanbul” (Curtiss, “Iran”)."
1.1992-04,1992,6,5,Friday,1,,Türkiye,Istanbul,Istanbul (TUR),Istanbul,,41.01,28.96,
1.1992-05,1992,,,,0,1992-07 or 1992-06-03,Iraq,Sulaymaniyah,Sulaimaniya (IRQ),Sulaymaniyah,,35.56,45.44,
1.1992-06,1992,8,,,0,Cries that may have been Farrokhzad's were heard on 1992-08-03. Farrokhzad's body was discovered on 1992-08-07.,Germany,North Rhine-Westphalia,Bonn (DEU),Bonn,,50.73,7.1,in Farrokhzad's home
1.1992-07,1992,8,,,0,,Germany,Hesse,Frankfurt am Main (DEU),Frankfurt,,50.11,8.68,Moghaddam's apartment
