short_name,authors,authors_in-text,title,secondary_title,year,month,day,volume,issue,pages,url,focus,comments,sort_name
"""2,"" 1980",,,2 Arrested in Slaying of Iranian,Atlanta Constitution,1980,7,24,,,,http://search.proquest.com/news/docview/1614142789/,Focuses on 1.1980-02 (Tabatabai),,"2, 1980"
"""2,"" 1984",,,2 Khomeini Foes Slain in Paris,Hartford Courant,1984,2,8,,,,http://search.proquest.com/docview/547179796,Focuses on 1.1984-01 (Oveissi),,"2, 1984"
"""2,"" 1987",,,2 Iranians Killed in London,Washington Post,1987,10,4,,,,http://search.proquest.com/docview/306953769,Focuses on 1.1987-07 (Tavakoli-Nabavi) | Alludes to broader pattern,,"2, 1987"
"""2,"" 1994",,,2 Iranians Convicted in Paris Killing,New York Times,1994,12,7,,,,http://search.proquest.com/docview/429990109,Focuses on 1.1991-04 (Bakhtiar ‘91) | Alludes to broader pattern,,"2, 1994"
"""4,"" 1999",,,4 Iranian Opposition Members Killed in Car Bomb,Xinhua,1999,6,9,,,,http://search.proquest.com/docview/454158751,Focuses on 1.1999-01 (Baghdad bus),,"4, 1999"
"""6,"" 1995",,,6 Iranian Assassins Sentenced By France,Reuters,1995,6,17,,,,http://search.proquest.com/docview/430219404,Focuses on 1.1991-04 (Bakhtiar ‘91),,"6, 1995"
"""7,"" 1999",,,7 Militants Die in Car-Bombing,Irish Times,1999,6,10,,,,http://search.proquest.com/docview/310449449,Focuses on 1.1999-01 (Baghdad bus),,"7, 1999"
"""90,"" 1980",,,90 in U.S. Reported on Islamic Hit List,Chicago Tribune,1980,8,9,,,,http://search.proquest.com/news/docview/172092669/,"Mentions 1.1980-02 (Tabatabai), 1.1980-03 (Shah-Rais) | Alludes to broader pattern",,"90, 1980"
"Abdo and Associated Press, 1999","Abdo, Geneive; Associated Press",Abdo and Associated Press,Iran-Iraq Strains Grow as Report Says Scuds Fired,Guardian [London],1999,6,11,,,,http://search.proquest.com/docview/245399161,Mentions 1.1999-01 (Baghdad bus),,"Abdo and Associated Press, 1999"
"Abedin, 2002","Abedin, Mahan",Abedin,Iranian Views on Regime Change in Iraq,Middle East Intelligence Bulletin,2002,,,4,11,,,"Mentions 1.1992-08 (Sharafkandi), 1.1994-07 (Hamzei’i) | Mentions Bakhtiar’s 1980 activities",,"Abedin, 2002"
"Anderson, 2009","Anderson, Jon Lee",Anderson,A Fugitive in Iran,New Yorker,2009,9,30,,,,http://www.newyorker.com/news/news-desk/jon-lee-anderson-a-fugitive-in-iran,Focuses on 1.1980-02 (Tabatabai,Mischaracterizes the timing of the event in relation to “the U.S. hostage crisis and the severing of relations between the U.S. and Iran”,"Anderson, 2009"
"""Anti-Khomeini,"" 1987",,,Anti-Khomeini Activists Killed in London,St. Petersburg Times [Florida],1987,10,4,,,,http://search.proquest.com/docview/262534162,Focuses on 1.1987-07 (Tavakoli-Nabavi) | Mentions 1.1987-04 (Amir-Parviz) | Alludes to 1.1986- 01 (Fazeli),,"Anti-Khomeini, 1987"
