event_id,name,min_number,max_number,description,outcome
1.1979-01,Shahriar Mustapha Shafigh,1,1,"Shahriar Mustapha Shafigh, 34, was the son of Shah Mohammad Reza Pahlavi’s twin sister, Princess Ashraf. He had been an officer in Iran’s navy and had begun “to plan an amphibious invasion of Iran” (Gasiorowski, 2002, p. 649).",killed
1.1980-01,Shapour Bakhtiar,1,1,"Dr. Shapour Bakhtiar had been a longtime opponent of the shah. However, hoping to stave off Khomeini’s revolutionary forces, the shah appointed Bakhtiar to be Iran’s prime minister. Bakhtiar’s term lasted only 39 days before Khomeini’s forces gained control of the country. Bakhtiar was an outspoken critic of the Khomeini regime. He was a key figure in planning and financing the Nuzhih coup plot (see Gasiorowski, 2002).",unharmed
1.1980-01,Yvonne Stein,1,1,"Yvonne Stein, 45, a neighbor of Shapour Bakhtiar who had opened her door to investigate the commotion",killed
1.1980-01,Jean-Michel Jamme,1,1,"Jean-Michel Jamme, 23, a French police officer",killed
1.1980-01,Bernard Vigna,1,1,"Bernard Vigna, a police officer",wounded
1.1980-01,Georges Marty,1,1,"Georges Marty, 23, a police officer",wounded
1.1980-01,Viviane,1,1,"Viviane, 37, a sister of Yvonne Stein",wounded
1.1980-01,unknown_001,1,1,possibly a police officer,wounded
1.1980-01,unknown_002,1,2,1 or 2 of the assailants,wounded
1.1980-02,Ali Akbar Tabatabai,1,1,"Ali Akbar Tabatabai, 49, had been a press attaché at the Iranian Embassy in Washington before the Islamic Revolution. He was an outspoken critic of the Khomeini regime and president of the Iran Freedom Foundation. With his organization, he had scheduled a protest against the Khomeini regime for the Sunday after his murder. Tabatabai had expressed fears for his life and consequently had instructed neighbors not to receive mail on his behalf. Tabatabai had been scheduled to appear on a radio program but had asked whether he could do the interview by phone, as he feared to leave his home. He was killed several hours before the interview was to take place.",killed
1.1980-02,Shawn Tabatabai,1,1,"Shawn Tabatabai, 30, nephew of Ali Akbar Tabatabai",wounded
1.1980-03,Cambyse Shah-Rais,1,1,"Cambyse Shah-Rais, an Iranian dissident, believed himself to have been the intended target.",unharmed
1.1980-03,unknown_003,1,1,"a male Iranian student, 19",wounded
1.1982-01,Shahrokh Missaghi,1,1,"Shahrokh Missaghi, “25, an engineering student and reportedly a member of the Mujaheddin-e-Khalq, an Islamic guerrilla group that supported the Iranian revolution but later turned against Khomeini” (Branigin, 1984)",killed
1.1982-01,unknown_004,19,19,"""19 anti-Khomeini Iranians"" (Branigin, 1984)",wounded
1.1982-02,Shahram Mirani,1,1,"Shahram Mirani, “a Kurdish Iranian student and a member of the student opposition” (Rabbani, 2010)",unclear
1.1982-03,Ahmad Zolanvar,1,1,"Ahmad Zolanvar, a Mojahedin supporter, perhaps along with other Mojahedin supporters",killed
1.1982-04,Abdol-Amir Rahdar,1,1,"Abdol-Amir Rahdar, an opposition member",killed
1.1983-01,Esfandiar Rahimi,1,1,Esfandiar Rahimi,killed
1.1983-02,Alirez Ghaemi Sistan,1,1,"“Alireza Ghaemi Sistan, 31, a graduate dental student”",wounded
1.1984-01,Gholam-Ali Oveissi,1,1,"Gholam Ali Oveissi, 65, had been a four-star general and the military governor of Tehran under the shah. He had become known as the “butcher of Tehran” for violently repressing demonstrations. After the Islamic Revolution, Oveissi made use of Iraqi support to plot coups against the Khomeini regime. However, he apparently broke ties with Iraq after suspecting that Iraq wanted to use him to facilitate its own invasion of Iran.",killed
1.1984-01,Gholam Hossein Oveissi,1,1,"Gholam Hossein Oveissi, in his 60s, had been an army colonel. He was Gholam Ali Oveissi’s brother.",killed
1.1984-01,Rahmat Madjlessi,1,1,"Rahmat Madjlessi, chauffeur of Gholam Ali Oveissi and Gholam Hossein Oveissi",wounded
1.1985-01,Behrouz Shahverdilou,1,1,Colonel Behrouz Shahverdilou was an army officer under the shah and close to Bakhtiar.,killed
1.1985-02,Hadi Aziz-Moradi,1,1,"Hadi Aziz-Moradi, a former army officer who had been involved in the Nuzhih plot",killed
1.1986-01,Bijan Fazeli,1,1,"Bijan Fazeli, 22, was the son of Reza Fazeli.",killed
1.1986-01,Reza Fazeli,1,1,"Reza Fazeli, actor, comedian, and critic of the Khomeini regime",unharmed
1.1986-02,Ahmad Hamed Monfared,1,1,Ahmad Hamed Monfared had been an officer in the Iranian army. He was also known as Hamid Farzaneh.,killed
1.1986-03,Vali Mohammad Van,1,1,"Vali Mohammad Van, a former Marine officer",killed
1.1987-01,Ali Akbar Mohammadi,1,1,"Ali Akbar Mohammadi, 35, had been Rafsanjani’s pilot but had deserted.",killed
1.1987-02,Hamid Reza Chitgar,1,1,"Hamid Reza Chitgar, 38, was a Marxist opposed to Khomeini’s government. He was also known as Hamid Bahmani.",killed
1.1987-03,Ali Reza Pourshafizadeh,1,1,"Ali Reza Pourshafizadeh, a member or affiliate of the People's Mojahedin Organization of Iran (PMOI)",killed
1.1987-03,Faramarz-Agha,1,1,"Faramarz-Agha, a member or affiliate of the People's Mojahedin Organization of Iran (PMOI)",killed
1.1987-03,unknown_005,1,1,an assailant,killed
1.1987-03,unknown_006,19,22,members or affiliates of the People's Mojahedin Organization of Iran (PMOI),wounded
1.1987-04,Amirhussein Amir-Parviz,1,1,"Amirhussein Amir-Parviz, 63, had been in the shah’s cabinet, including as minister of agriculture. After the revolution, he became chair of the London office of the National Movement for Iranian Resistance.",wounded
1.1987-05,Mohammad Hassan Mansouri,1,1,"Mohammad Hassan Mansouri, a dissident who had been a colonel in prerevolutionary Iran",killed
1.1987-05,unknown_007,0,1,someone who was possibly with Mohammad Hassan Mansouri,unclear
1.1987-06,Ahmad Moradi-Talebi,1,1,"Ahmad Moradi-Talebi, a pilot who had deserted from the Iranian Air Force",killed
1.1987-07,Mohammad Ali Tavakoli-Nabavi,1,1,"Mohammad Ali Tavakoli-Nabavi, 58, had founded a small group of dissidents—whose members numbered no more than a dozen and consisted mostly of Mohammed Ali’s family members—and had spoken against Khomeini regularly in Hyde Park.",killed
1.1987-07,Noureddin Tavakoli-Nabavi,1,1,"Noureddin Tavakoli-Nabavi, 24, son of Mohammad Ali Tavakoli-Nabavi",killed
1.1987-08,Behrouz Bagheri,1,1,Behrouz Bagheri had been a commander in the Air Force.,killed
1.1987-09,unknown_008,1,1,someone at a hotel where Iranian opposition members were staying,killed
1.1987-09,unknown_009,1,1,someone at a hotel where Iranian opposition members were staying,wounded
1.1987-10,Javad Haeri,1,1,"Javad Haeri, a dissident",killed
1.1988-01,Abdol Hassan Mojtahedzadeh,1,1,"Abdol Hassan Mojtahedzadeh, also known as Sadiq el Hassani, of the People's Mojahedin of Iran (PMOI)",wounded
1.1988-01,Mostafa Abriri,1,1,Mostafa Abriri of the People's Mojahedin of Iran (PMOI),wounded
1.1988-02,unknown_010,1,1,"an Iranian refugee, possibly with Balouch as a name or ethnically Balouch",killed
